SurvivorBulkRunScheduleId,ClientId,ScheduleName
1750,12671,Tauranga 1 Hour*13:00:00-14:00:00
1750,33118,Tauranga 1 Hour*13:00:00-14:00:00
1751,12671,Tauranga 1 Hour*14:00:00-15:00:00
1751,33118,Tauranga 1 Hour*14:00:00-15:00:00
1752,12671,Tauranga 1 Hour*15:00:00-16:00:00
1752,33118,Tauranga 1 Hour*15:00:00-16:00:00
1753,12671,Tauranga 1 Hour*16:00:00-17:00:00
1753,33118,Tauranga 1 Hour*16:00:00-17:00:00
11674,31488,Tauranga > BOP Outer Run
11674,31486,Tauranga > BOP Outer Run
12829,17272,Tauranga > Outer BOP
2382,32943,Tauranga > Waikato Afternoon Run
2367,9196,Tauranga > Waikato Morning Run
2367,31730,Tauranga > Waikato Morning Run
12118,32186,Tauranga > Whakatane Run
12118,32206,Tauranga > Whakatane Run
12118,32993,Tauranga > Whakatane Run
12118,35321,Tauranga > Whakatane Run
12163,32767,Tauranga > Whakatane Run
12163,32246,Tauranga > Whakatane Run
510,31654,Tauranga Weds Regional
510,32853,Tauranga Weds Regional
879,33089,Thursday Afternoon Express
879,33091,Thursday Afternoon Express
191,32758,Thursday Evening Express
191,32822,Thursday Evening Express
864,33089,Thursday Evening Express
864,33091,Thursday Evening Express
874,33089,Thursday Morning Express
874,33091,Thursday Morning Express
3405,14582,TRG > AKL Day Run
3405,16947,TRG > AKL Day Run
3405,16513,TRG > AKL Day Run
3405,18188,TRG > AKL Day Run
3405,13713,TRG > AKL Day Run
3405,504,TRG > AKL Day Run
3405,9477,TRG > AKL Day Run
3405,14763,TRG > AKL Day Run
3405,18185,TRG > AKL Day Run
3405,3191,TRG > AKL Day Run
3405,13822,TRG > AKL Day Run
3405,35755,TRG > AKL Day Run
3405,169,TRG > AKL Day Run
3405,36672,TRG > AKL Day Run
3405,36739,TRG > AKL Day Run
3360,14927,TRG > AKL Day Run
3360,32946,TRG > AKL Day Run
3410,14582,TRG > AKL Next Day Run
3410,16947,TRG > AKL Next Day Run
3410,16513,TRG > AKL Next Day Run
3410,18188,TRG > AKL Next Day Run
3410,13713,TRG > AKL Next Day Run
3410,504,TRG > AKL Next Day Run
3410,9477,TRG > AKL Next Day Run
3410,14763,TRG > AKL Next Day Run
3410,18185,TRG > AKL Next Day Run
3410,3191,TRG > AKL Next Day Run
3410,13822,TRG > AKL Next Day Run
3410,35755,TRG > AKL Next Day Run
3410,169,TRG > AKL Next Day Run
3410,36672,TRG > AKL Next Day Run
3410,36739,TRG > AKL Next Day Run
877,33089,Tuesday Afternoon Express
877,33091,Tuesday Afternoon Express
188,32758,Tuesday Evening Express
188,32822,Tuesday Evening Express
862,33089,Tuesday Evening Express
862,33091,Tuesday Evening Express
872,33089,Tuesday Morning Express
872,33091,Tuesday Morning Express
5134,32584,Urgent Express Delivery 10am
5134,32893,Urgent Express Delivery 10am
5134,32896,Urgent Express Delivery 10am
5134,32335,Urgent Express Delivery 10am
5129,32584,Urgent Express Delivery 11am
5129,32893,Urgent Express Delivery 11am
5129,32896,Urgent Express Delivery 11am
5129,32335,Urgent Express Delivery 11am
5266,32896,Urgent Express Delivery 12pm
5266,32335,Urgent Express Delivery 12pm
5115,32584,Urgent Express Delivery 1pm
5115,32893,Urgent Express Delivery 1pm
5115,32896,Urgent Express Delivery 1pm
5115,32335,Urgent Express Delivery 1pm
5122,32584,Urgent Express Delivery 2pm
5122,32893,Urgent Express Delivery 2pm
5122,32896,Urgent Express Delivery 2pm
5122,32335,Urgent Express Delivery 2pm
5144,32584,Urgent Express Delivery 3pm
5144,32893,Urgent Express Delivery 3pm
5144,32896,Urgent Express Delivery 3pm
5144,32335,Urgent Express Delivery 3pm
5139,32584,Urgent Express Delivery 9am
5139,32893,Urgent Express Delivery 9am
2372,9196,Waikato > Tauranga afternoon
2372,36813,Waikato > Tauranga afternoon
2357,9196,Waikato Local & Outer > BOP
2357,36813,Waikato Local & Outer > BOP
10368,36813,Waikato Outer - Morning
5660,31492,"Waikato Outer > Taupo, Tokoroa, Putaruru"
878,33089,Wednesday Afternoon Express
878,33091,Wednesday Afternoon Express
190,32758,Wednesday Evening Express
190,32822,Wednesday Evening Express
863,33089,Wednesday Evening Express
863,33091,Wednesday Evening Express
206,32770,Wednesday Evening Home
206,32799,Wednesday Evening Home
873,33089,Wednesday Morning Express
873,33091,Wednesday Morning Express
5956,1088,Wellington Schedules
5956,36266,Wellington Schedules
3415,14582,WHK > AKL Next Day Run
3415,16947,WHK > AKL Next Day Run
3415,16513,WHK > AKL Next Day Run
3415,18188,WHK > AKL Next Day Run
3415,13713,WHK > AKL Next Day Run
3415,504,WHK > AKL Next Day Run
3415,14578,WHK > AKL Next Day Run
3415,9477,WHK > AKL Next Day Run
3415,14763,WHK > AKL Next Day Run
3415,18185,WHK > AKL Next Day Run
3415,3191,WHK > AKL Next Day Run
3415,13822,WHK > AKL Next Day Run
3415,13773,WHK > AKL Next Day Run
3415,35755,WHK > AKL Next Day Run
3415,169,WHK > AKL Next Day Run
3415,36672,WHK > AKL Next Day Run
